Entity,Annual_CO2_emissions_per_capita
Afghanistan,0.26583755
Africa,0.9592574
Albania,1.8296527
Algeria,3.8586802
Andorra,5.244343
Angola,0.56545913
Anguilla,10.043082
Antigua and Barbuda,6.911837
Argentina,4.2998033
Armenia,2.584923
Aruba,8.036588
Asia,4.7313886
Asia (excl. China and India),3.9850643
Australia,14.478505
Austria,6.415725
Azerbaijan,4.2582173
Bahamas,6.272632
Bahrain,23.271013
Bangladesh,0.6615086
Barbados,4.2215004
Belarus,6.197136
Belgium,7.1177025
Belize,1.6247674
Benin,0.3963094
Bermuda,8.079226
Bhutan,2.178551
Bolivia,1.9078085
Bonaire Sint Eustatius and Saba,3.8460999
Bosnia and Herzegovina,6.3356104
Botswana,2.7068784
Brazil,2.3040092
British Virgin Islands,4.7567644
Brunei,25.646858
Bulgaria,5.311196
Burkina Faso,0.2686812
Burundi,0.05184301
Cambodia,1.1580942
Cameroon,0.3503871
Canada,13.977411
Cape Verde,1.0242758
Central African Republic,0.054579318
Chad,0.15939671
Chile,3.9314575
China,8.366814
Colombia,2.0114
Comoros,0.52771086
Congo,1.2412342
Cook Islands,5.1297364
Costa Rica,1.621601
Cote d'Ivoire,0.42340288
Croatia,4.497998
Cuba,2.0959787
Curacao,10.914814
Cyprus,5.3342433
Czechia,7.92107
Democratic Republic of Congo,0.0436333
Denmark,4.5837965
Djibouti,0.42721647
Dominica,2.4528415
Dominican Republic,2.8257916
East Timor,0.45665762
Ecuador,2.4011562
Egypt,2.3486664
El Salvador,1.304408
Equatorial Guinea,3.3241498
Eritrea,0.17887679
Estonia,7.3282313
Eswatini,0.8973983
Ethiopia,0.118322685
Europe,6.688105
Europe (excl. EU-27),8.389255
Europe (excl. EU-28),9.582038
European Union (27),5.571036
European Union (28),5.4218297
Faroe Islands,14.5845785
Fiji,1.2402701
Finland,5.6456437
France,4.101157
French Polynesia,3.2594645
Gabon,2.1776652
Gambia,0.26351094
Georgia,3.091041
Germany,7.051025
Ghana,0.5814861
Greece,5.388754
Greenland,10.670095
Grenada,2.8993738
Guatemala,1.1245548
Guinea,0.28064337
Guinea-Bissau,0.13839415
Guyana,4.290242
Haiti,0.3026484
High-income countries,9.956884
Honduras,1.0373338
Hong Kong,4.550918
Hungary,4.1491246
Iceland,9.708997
India,2.129469
Indonesia,2.6075745
Iran,9.026508
Iraq,3.9148493
Ireland,6.6260405
Israel,6.4269466
Italy,5.2682986
Jamaica,2.6934605
Japan,7.95029
Jordan,1.8523093
Kazakhstan,12.550943
Kenya,0.38907567
Kiribati,0.5207707
Kosovo,4.9275312
Kuwait,20.508173
Kyrgyzstan,1.4352694
Laos,3.235021
Latvia,3.4600034
Lebanon,3.3732815
Lesotho,1.6824147
Liberia,0.14036113
Libya,8.346452
Liechtenstein,3.9732652
Lithuania,4.366298
Low-income countries,0.26692328
Lower-middle-income countries,1.5847771
Luxembourg,10.5150585
Macao,1.4813592
Madagascar,0.14349261
Malawi,0.08303524
Malaysia,8.2224455
Maldives,3.9210675
Mali,0.2844733
Malta,3.4193249
Marshall Islands,3.9515243
Mauritania,0.8785841
Mauritius,3.249939
Mexico,3.7199361
Micronesia (country),1.3276674
Moldova,1.9439814
Mongolia,13.657199
Montenegro,3.6754034
Montserrat,5.056857
Morocco,1.82082
Mozambique,0.23854187
Myanmar,0.5584913
Namibia,1.408754
Nauru,4.8522363
Nepal,0.56162494
Netherlands,6.558991
New Caledonia,17.48445
New Zealand,5.8226275
Nicaragua,0.8189818
Niger,0.09929863
Nigeria,0.5640604
Niue,4.238253
North America,10.12815
North America (excl. USA),4.64198
North Korea,2.3000948
North Macedonia,4.0665092
Norway,7.0484023
Oceania,9.498823
Oman,15.5492115
Pakistan,0.8107599
Palau,12.556051
Palestine,0.64647776
Panama,3.1440282
Papua New Guinea,0.8009956
Paraguay,1.189241
Peru,1.6505452
Philippines,1.3454357
Poland,7.4628654
Portugal,3.5690997
Qatar,38.842007
Romania,3.569303
Russia,12.485692
Rwanda,0.110374995
Saint Helena,2.105283
Saint Kitts and Nevis,4.9948015
Saint Lucia,2.85322
Saint Pierre and Miquelon,9.798696
Saint Vincent and the Grenadines,2.3416662
Samoa,1.1855699
Sao Tome and Principe,0.7198723
Saudi Arabia,22.132036
Senegal,0.6583115
Serbia,6.253774
Seychelles,4.3078337
Sierra Leone,0.14556001
Singapore,8.507941
Sint Maarten (Dutch part),16.216665
Slovakia,5.5706987
Slovenia,5.347735
Solomon Islands,0.37855327
Somalia,0.03037349
South Africa,6.3578267
South America,2.5627966
South Korea,11.158091
South Sudan,0.13763057
Spain,4.6255174
Sri Lanka,0.88446397
Sudan,0.39968732
Suriname,4.2100472
Sweden,3.464577
Switzerland,3.6905727
Syria,1.0808959
Taiwan,11.200046
Tajikistan,0.8714852
Tanzania,0.27119046
Thailand,3.6873055
Togo,0.28159434
Tonga,1.9062879
Trinidad and Tobago,22.834675
Tunisia,2.6878552
Turkey,4.9510155
Turkmenistan,8.603915
Turks and Caicos Islands,8.026466
Tuvalu,1.174908
Uganda,0.1153731
Ukraine,3.6164997
United Arab Emirates,21.554457
United Kingdom,4.4428277
United States,14.299027
Upper-middle-income countries,6.1474814
Uruguay,2.3216877
Uzbekistan,3.4995937
Vanuatu,0.7059308
Venezuela,3.5182343
Vietnam,3.335515
Wallis and Futuna,2.6994717
World,4.6703916
Yemen,0.2547525
Zambia,0.37391192
Zimbabwe,0.68320066
