Entity,LGBT_Rights_Index
Afghanistan,0.51
Africa,17.979101
Albania,62.27
Algeria,3.72
Andorra,84.21
Angola,46.19
Antigua and Barbuda,48
Argentina,87.34
Armenia,43.18
Asia,44.434574
Australia,87.73
Austria,90.68
Azerbaijan,29.76
Bahamas,48.72
Bahrain,31.11
Bangladesh,14.72
Barbados,43.9
Belarus,37.73
Belgium,86.43
Belize,53.14
Benin,41.91
Bhutan,54.05
Bolivia,85.24
Bosnia and Herzegovina,59.7
Botswana,58.97
Brazil,96.57
Brunei,3.78
Bulgaria,50.7
Burkina Faso,29.47
Burundi,6.32
Cambodia,45
Cameroon,3.16
Canada,95.35
Cape Verde,49.47
Central African Republic,35.9
Chad,15
Chile,100
China,42.38
Colombia,97.73
Comoros,13.51
Congo,48.49
Costa Rica,83.33
Cote d'Ivoire,33.33
Croatia,78.64
Cuba,82.79
Cyprus,76.84
Czechia,75.46
Democratic Republic of Congo,30.53
Denmark,92.86
Djibouti,37.3
Dominica,47.43
Dominican Republic,43.5
East Timor,48.72
Ecuador,87.5
Egypt,8.84
El Salvador,45.41
Equatorial Guinea,42.93
Eritrea,4.87
Estonia,80.48
Eswatini,35.86
Ethiopia,6.51
Europe,70.864716
Fiji,59.76
Finland,85
France,88.64
Gabon,45.56
Gambia,11.84
Georgia,45.58
Germany,100
Ghana,19.51
Greece,91.82
Grenada,22.35
Guatemala,48.29
Guinea,16.92
Guinea-Bissau,46.86
Guyana,22.26
Haiti,42.5
Honduras,60
Hungary,61.36
Iceland,97.62
India,61.16
Indonesia,35.39
Iran,6.05
Iraq,3.08
Ireland,85
Israel,76.36
Italy,75.04
Jamaica,25
Japan,58
Jordan,35.12
Kazakhstan,38.52
Kenya,20.79
Kiribati,28.33
Kuwait,5.64
Kyrgyzstan,33.85
Laos,47.27
Latvia,61.86
Lebanon,18.92
Lesotho,54.5
Liberia,27.18
Libya,4.29
Liechtenstein,68.57
Lithuania,58.18
Luxembourg,81.31
Madagascar,40
Malawi,15.79
Malaysia,8.21
Maldives,15.79
Mali,6.67
Malta,100
Marshall Islands,56.76
Mauritania,2.79
Mauritius,51.28
Mexico,80.16
Micronesia (country),53.14
Moldova,62.52
Monaco,54.6
Mongolia,63.42
Montenegro,67.73
Morocco,6.51
Mozambique,48.21
Myanmar,11.71
Namibia,49.05
Nauru,48.44
Nepal,82.58
Netherlands,90.46
New Zealand,87.05
Nicaragua,42.11
Niger,38.97
Nigeria,4.6
North America,77.459656
North Korea,35.88
North Macedonia,60.91
Norway,86.82
Oceania,69.303696
Oman,2.93
Pakistan,30.93
Palau,43.75
Panama,44
Papua New Guinea,22.27
Paraguay,38.57
Peru,66.5
Philippines,54.75
Poland,55
Portugal,93.18
Qatar,6.83
Romania,55.46
Russia,31.55
Rwanda,39
Saint Kitts and Nevis,47.43
Saint Lucia,26.71
Saint Vincent and the Grenadines,14.71
Samoa,21.47
San Marino,63.64
Sao Tome and Principe,52.94
Saudi Arabia,2.93
Senegal,3.24
Serbia,62.27
Seychelles,51.43
Sierra Leone,22.44
Singapore,46.67
Slovakia,65.8
Slovenia,83.64
Solomon Islands,18.75
Somalia,1
South Africa,83.64
South America,88.55131
South Korea,60
South Sudan,7.37
Spain,99.66
Sri Lanka,25.64
Sudan,6.05
Suriname,62.11
Sweden,80.46
Switzerland,75.91
Syria,10.24
Taiwan,72.96
Tajikistan,35.12
Tanzania,6.22
Thailand,69.05
Togo,8.89
Tonga,20.59
Trinidad and Tobago,29.29
Tunisia,10.53
Turkey,35.46
Turkmenistan,19.87
Tuvalu,26.52
Uganda,0.59
Ukraine,57.27
United Arab Emirates,0.47
United Kingdom,81.59
United States,81.11
Uruguay,93.18
Uzbekistan,23.21
Vanuatu,44.87
Venezuela,48.64
Vietnam,52.27
World,46.7962
Yemen,3.16
Zambia,5.5
Zimbabwe,15.26
